Frequency,year,Area,State,crop,Unit,Volume
"Annual, Ending mar Of Each Year", 3-2007,1.23,Maharashtra,Wheat,Ton th,1631.1
"Annual, Ending mar Of Each Year", 3-2008,1.25,Maharashtra,Wheat,Ton th,2078.7
"Annual, Ending mar Of Each Year", 3-2009,1.02,Maharashtra,Wheat,Ton th,1516.0
"Annual, Ending mar Of Each Year", 3-2010,1.081,Maharashtra,Wheat,Ton th,1740.0
"Annual, Ending mar Of Each Year", 3-2011,1.307,Maharashtra,Wheat,Ton th,2301.0
"Annual, Ending mar Of Each Year", 3-2012,0.84,Maharashtra,Wheat,Ton th,1310.0
"Annual, Ending mar Of Each Year", 3-2013,0.59,Maharashtra,Wheat,Ton th,880.0
"Annual, Ending mar Of Each Year", 3-2005,3.48,Punjab,Wheat,Ton th,14698.0
"Annual, Ending mar Of Each Year", 3-2006,3.47,Punjab,Wheat,Ton th,14493.0
"Annual, Ending mar Of Each Year", 3-2007,3.47,Punjab,Wheat,Ton th,14596.0
"Annual, Ending mar Of Each Year", 3-2008,3.49,Punjab,Wheat,Ton th,15720.0
"Annual, Ending mar Of Each Year", 3-2009,3.53,Punjab,Wheat,Ton th,15733.0
"Annual, Ending mar Of Each Year", 3-2010,3.522,Punjab,Wheat,Ton th,15169.0
"Annual, Ending mar Of Each Year", 3-2011,3.51,Punjab,Wheat,Ton th,16472.0
"Annual, Ending mar Of Each Year", 3-2012,3.53,Punjab,Wheat,Ton th,17280.0
"Annual, Ending mar Of Each Year", 3-2013,3.52,Punjab,Wheat,Ton th,16110.0
"Annual, Ending mar Of Each Year", 3-2005,2.01,Rajasthan,Wheat,Ton th,5706.6
"Annual, Ending mar Of Each Year", 3-2006,2.12,Rajasthan,Wheat,Ton th,5865.3
"Annual, Ending mar Of Each Year", 3-2007,2.56,Rajasthan,Wheat,Ton th,7055.8
"Annual, Ending mar Of Each Year", 3-2008,2.59,Rajasthan,Wheat,Ton th,7124.9
"Annual, Ending mar Of Each Year", 3-2009,2.29,Rajasthan,Wheat,Ton th,7287.0
"Annual, Ending mar Of Each Year", 3-2010,2.3942,Rajasthan,Wheat,Ton th,7500.9
"Annual, Ending mar Of Each Year", 3-2011,2.479,Rajasthan,Wheat,Ton th,7215.0
"Annual, Ending mar Of Each Year", 3-2012,2.94,Rajasthan,Wheat,Ton th,9320.0
"Annual, Ending mar Of Each Year", 3-2013,2.82,Rajasthan,Wheat,Ton th,8950.0
"Annual, Ending mar Of Each Year", 3-2005,9.0,UttarPradesh,Wheat,Ton th,22513.9
"Annual, Ending mar Of Each Year", 3-2006,9.16,UttarPradesh,Wheat,Ton th,24073.8
"Annual, Ending mar Of Each Year", 3-2007,9.2,UttarPradesh,Wheat,Ton th,25031.0
"Annual, Ending mar Of Each Year", 3-2008,9.12,UttarPradesh,Wheat,Ton th,25679.0
"Annual, Ending mar Of Each Year", 3-2009,9.51,UttarPradesh,Wheat,Ton th,28554.0
"Annual, Ending mar Of Each Year", 3-2010,9.668,UttarPradesh,Wheat,Ton th,27518.0
"Annual, Ending mar Of Each Year", 3-2011,9.637,UttarPradesh,Wheat,Ton th,30001.0
"Annual, Ending mar Of Each Year", 3-2012,9.73,UttarPradesh,Wheat,Ton th,30290.0
"Annual, Ending mar Of Each Year", 3-2013,9.73,UttarPradesh,Wheat,Ton th,30300.0
"Annual, Ending mar Of Each Year", 3-2005,0.39,Uttaranchal,Wheat,Ton th,803.0
"Annual, Ending mar Of Each Year", 3-2006,0.4,Uttaranchal,Wheat,Ton th,645.0
"Annual, Ending mar Of Each Year", 3-2007,0.39,Uttaranchal,Wheat,Ton th,801.0
"Annual, Ending mar Of Each Year", 3-2008,0.4,Uttaranchal,Wheat,Ton th,814.0
"Annual, Ending mar Of Each Year", 3-2009,0.4,Uttaranchal,Wheat,Ton th,797.0
"Annual, Ending mar Of Each Year", 3-2010,0.395,Uttaranchal,Wheat,Ton th,845.0
"Annual, Ending mar Of Each Year", 3-2011,0.379,Uttaranchal,Wheat,Ton th,878.0
"Annual, Ending mar Of Each Year", 3-2012,0.37,Uttaranchal,Wheat,Ton th,880.0
"Annual, Ending mar Of Each Year", 3-2013,0.36,Uttaranchal,Wheat,Ton th,840.0
"Annual, Ending mar Of Each Year", 3-2005,0.4,WestBengal,Wheat,Ton th,841.5
"Annual, Ending mar Of Each Year", 3-2006,0.37,WestBengal,Wheat,Ton th,773.5
"Annual, Ending mar Of Each Year", 3-2007,0.35,WestBengal,Wheat,Ton th,799.9
"Annual, Ending mar Of Each Year", 3-2008,0.35,WestBengal,Wheat,Ton th,917.3
"Annual, Ending mar Of Each Year", 3-2009,0.31,WestBengal,Wheat,Ton th,764.5
"Annual, Ending mar Of Each Year", 3-2010,0.3159,WestBengal,Wheat,Ton th,846.7
"Annual, Ending mar Of Each Year", 3-2011,0.317,WestBengal,Wheat,Ton th,874.0
"Annual, Ending mar Of Each Year", 3-2012,0.32,WestBengal,Wheat,Ton th,870.0
"Annual, Ending mar Of Each Year", 3-2013,0.32,WestBengal,Wheat,Ton th,910.0
"Annual, Ending mar Of Each Year", 3-2005,1.37,AndhraPradesh,Coarse,Ton th,2771.0
"Annual, Ending mar Of Each Year", 3-2006,1.39,AndhraPradesh,Coarse,Ton th,3862.0
"Annual, Ending mar Of Each Year", 3-2007,1.3,AndhraPradesh,Coarse,Ton th,3001.0
"Annual, Ending mar Of Each Year", 3-2008,1.28,AndhraPradesh,Coarse,Ton th,4274.0
"Annual, Ending mar Of Each Year", 3-2009,1.27,AndhraPradesh,Coarse,Ton th,4716.0
"Annual, Ending mar Of Each Year", 3-2010,1.28,AndhraPradesh,Coarse,Ton th,3318.0
"Annual, Ending mar Of Each Year", 3-2011,1.14,AndhraPradesh,Coarse,Ton th,4348.8
"Annual, Ending mar Of Each Year", 3-2012,1.25,AndhraPradesh,Coarse,Ton th,4230.0
"Annual, Ending mar Of Each Year", 3-2013,1.41,AndhraPradesh,Coarse,Ton th,5440.0
"Annual, Ending mar Of Each Year", 3-2005,0.66,Bihar,Coarse,Ton th,1501.9
"Annual, Ending mar Of Each Year", 3-2006,0.7,Bihar,Coarse,Ton th,1405.5
"Annual, Ending mar Of Each Year", 3-2007,0.69,Bihar,Coarse,Ton th,1759.7
"Annual, Ending mar Of Each Year", 3-2008,0.69,Bihar,Coarse,Ton th,1498.5
"Annual, Ending mar Of Each Year", 3-2009,0.68,Bihar,Coarse,Ton th,1751.3
"Annual, Ending mar Of Each Year", 3-2010,0.66,Bihar,Coarse,Ton th,1508.1
"Annual, Ending mar Of Each Year", 3-2011,0.69,Bihar,Coarse,Ton th,1338.2
"Annual, Ending mar Of Each Year", 3-2012,0.71,Bihar,Coarse,Ton th,1650.0
"Annual, Ending mar Of Each Year", 3-2013,0.72,Bihar,Coarse,Ton th,2370.0
"Annual, Ending mar Of Each Year", 3-2005,0.35,Chhattisgarh,Coarse,Ton th,189.5
"Annual, Ending mar Of Each Year", 3-2006,0.35,Chhattisgarh,Coarse,Ton th,159.3
"Annual, Ending mar Of Each Year", 3-2007,0.33,Chhattisgarh,Coarse,Ton th,178.3
"Annual, Ending mar Of Each Year", 3-2008,0.32,Chhattisgarh,Coarse,Ton th,229.7
"Annual, Ending mar Of Each Year", 3-2009,0.28,Chhattisgarh,Coarse,Ton th,184.4
"Annual, Ending mar Of Each Year", 3-2010,0.27,Chhattisgarh,Coarse,Ton th,181.8
"Annual, Ending mar Of Each Year", 3-2011,0.28,Chhattisgarh,Coarse,Ton th,205.4
"Annual, Ending mar Of Each Year", 3-2012,0.27,Chhattisgarh,Coarse,Ton th,210.0
"Annual, Ending mar Of Each Year", 3-2013,0.26,Chhattisgarh,Coarse,Ton th,240.0
"Annual, Ending mar Of Each Year", 3-2005,1.6,Gujarat,Coarse,Ton th,1734.5
"Annual, Ending mar Of Each Year", 3-2006,1.61,Gujarat,Coarse,Ton th,1836.0
"Annual, Ending mar Of Each Year", 3-2007,1.63,Gujarat,Coarse,Ton th,1516.0
"Annual, Ending mar Of Each Year", 3-2008,1.57,Gujarat,Coarse,Ton th,2151.0
"Annual, Ending mar Of Each Year", 3-2009,1.44,Gujarat,Coarse,Ton th,1976.0
"Annual, Ending mar Of Each Year", 3-2010,1.4,Gujarat,Coarse,Ton th,1600.0
"Annual, Ending mar Of Each Year", 3-2011,1.55,Gujarat,Coarse,Ton th,1755.2
"Annual, Ending mar Of Each Year", 3-2012,1.59,Gujarat,Coarse,Ton th,2230.0
"Annual, Ending mar Of Each Year", 3-2013,1.25,Gujarat,Coarse,Ton th,2070.0
"Annual, Ending mar Of Each Year", 3-2005,0.71,Haryana,Coarse,Ton th,882.0
"Annual, Ending mar Of Each Year", 3-2006,0.72,Haryana,Coarse,Ton th,813.0
"Annual, Ending mar Of Each Year", 3-2007,0.76,Haryana,Coarse,Ton th,1197.0
"Annual, Ending mar Of Each Year", 3-2008,0.77,Haryana,Coarse,Ton th,1357.0
"Annual, Ending mar Of Each Year", 3-2009,0.76,Haryana,Coarse,Ton th,1329.4
"Annual, Ending mar Of Each Year", 3-2010,0.71,Haryana,Coarse,Ton th,1132.0
"Annual, Ending mar Of Each Year", 3-2011,0.78,Haryana,Coarse,Ton th,1369.0
"Annual, Ending mar Of Each Year", 3-2012,0.69,Haryana,Coarse,Ton th,1390.0
"Annual, Ending mar Of Each Year", 3-2013,0.52,Haryana,Coarse,Ton th,1000.0
"Annual, Ending mar Of Each Year", 3-2005,0.36,HimachalPradesh,Coarse,Ton th,788.2
"Annual, Ending mar Of Each Year", 3-2006,0.33,HimachalPradesh,Coarse,Ton th,570.7
"Annual, Ending mar Of Each Year", 3-2007,0.33,HimachalPradesh,Coarse,Ton th,728.2
"Annual, Ending mar Of Each Year", 3-2008,0.33,HimachalPradesh,Coarse,Ton th,896.2
"Annual, Ending mar Of Each Year", 3-2009,0.33,HimachalPradesh,Coarse,Ton th,712.1
"Annual, Ending mar Of Each Year", 3-2010,0.32,HimachalPradesh,Coarse,Ton th,563.5
"Annual, Ending mar Of Each Year", 3-2011,0.33,HimachalPradesh,Coarse,Ton th,713.5
"Annual, Ending mar Of Each Year", 3-2012,0.32,HimachalPradesh,Coarse,Ton th,750.0
"Annual, Ending mar Of Each Year", 3-2013,0.31,HimachalPradesh,Coarse,Ton th,670.0
"Annual, Ending mar Of Each Year", 3-2005,0.36,JammuandKashmir,Coarse,Ton th,517.3
"Annual, Ending mar Of Each Year", 3-2006,0.35,JammuandKashmir,Coarse,Ton th,467.7
"Annual, Ending mar Of Each Year", 3-2007,0.37,JammuandKashmir,Coarse,Ton th,512.3
"Annual, Ending mar Of Each Year", 3-2008,0.35,JammuandKashmir,Coarse,Ton th,499.5
"Annual, Ending mar Of Each Year", 3-2009,0.36,JammuandKashmir,Coarse,Ton th,660.4
"Annual, Ending mar Of Each Year", 3-2010,0.36,JammuandKashmir,Coarse,Ton th,513.3
"Annual, Ending mar Of Each Year", 3-2011,0.35,JammuandKashmir,Coarse,Ton th,550.7
"Annual, Ending mar Of Each Year", 3-2012,0.35,JammuandKashmir,Coarse,Ton th,530.0
"Annual, Ending mar Of Each Year", 3-2013,0.35,JammuandKashmir,Coarse,Ton th,540.0
"Annual, Ending mar Of Each Year", 3-2005,0.25,Jharkhand,Coarse,Ton th,324.1
"Annual, Ending mar Of Each Year", 3-2006,0.22,Jharkhand,Coarse,Ton th,259.6
"Annual, Ending mar Of Each Year", 3-2007,0.29,Jharkhand,Coarse,Ton th,332.0
"Annual, Ending mar Of Each Year", 3-2008,0.29,Jharkhand,Coarse,Ton th,386.4
"Annual, Ending mar Of Each Year", 3-2009,0.26,Jharkhand,Coarse,Ton th,333.9
"Annual, Ending mar Of Each Year", 3-2010,0.21,Jharkhand,Coarse,Ton th,216.9
"Annual, Ending mar Of Each Year", 3-2011,0.25,Jharkhand,Coarse,Ton th,268.2
"Annual, Ending mar Of Each Year", 3-2012,0.23,Jharkhand,Coarse,Ton th,330.0
"Annual, Ending mar Of Each Year", 3-2013,0.25,Jharkhand,Coarse,Ton th,410.0
"Annual, Ending mar Of Each Year", 3-2005,3.91,Karnataka,Coarse,Ton th,5977.0
"Annual, Ending mar Of Each Year", 3-2006,3.88,Karnataka,Coarse,Ton th,6564.0
"Annual, Ending mar Of Each Year", 3-2007,3.41,Karnataka,Coarse,Ton th,5055.0
"Annual, Ending mar Of Each Year", 3-2008,3.8,Karnataka,Coarse,Ton th,6943.0
"Annual, Ending mar Of Each Year", 3-2009,3.59,Karnataka,Coarse,Ton th,6254.0
"Annual, Ending mar Of Each Year", 3-2010,3.71,Karnataka,Coarse,Ton th,5895.0
"Annual, Ending mar Of Each Year", 3-2011,3.65,Karnataka,Coarse,Ton th,7501.0
"Annual, Ending mar Of Each Year", 3-2012,3.48,Karnataka,Coarse,Ton th,6810.0
"Annual, Ending mar Of Each Year", 3-2013,3.59,Karnataka,Coarse,Ton th,6150.0
"Annual, Ending mar Of Each Year", 3-2005,2.19,MadhyaPradesh,Coarse,Ton th,2330.0
"Annual, Ending mar Of Each Year", 3-2006,2.04,MadhyaPradesh,Coarse,Ton th,2348.4
"Annual, Ending mar Of Each Year", 3-2007,2.02,MadhyaPradesh,Coarse,Ton th,1849.6
"Annual, Ending mar Of Each Year", 3-2008,1.96,MadhyaPradesh,Coarse,Ton th,2122.5
"Annual, Ending mar Of Each Year", 3-2009,1.89,MadhyaPradesh,Coarse,Ton th,2149.9
"Annual, Ending mar Of Each Year", 3-2010,1.8,MadhyaPradesh,Coarse,Ton th,2041.2
"Annual, Ending mar Of Each Year", 3-2011,1.76,MadhyaPradesh,Coarse,Ton th,2166.3
"Annual, Ending mar Of Each Year", 3-2012,1.77,MadhyaPradesh,Coarse,Ton th,2470.0
"Annual, Ending mar Of Each Year", 3-2013,1.64,MadhyaPradesh,Coarse,Ton th,2530.0
"Annual, Ending mar Of Each Year", 3-2005,6.95,Maharashtra,Coarse,Ton th,5696.7
"Annual, Ending mar Of Each Year", 3-2006,6.87,Maharashtra,Coarse,Ton th,6087.0
"Annual, Ending mar Of Each Year", 3-2007,6.86,Maharashtra,Coarse,Ton th,6141.0
"Annual, Ending mar Of Each Year", 3-2008,6.32,Maharashtra,Coarse,Ton th,7093.0
"Annual, Ending mar Of Each Year", 3-2009,5.79,Maharashtra,Coarse,Ton th,5971.6
"Annual, Ending mar Of Each Year", 3-2010,6.19,Maharashtra,Coarse,Ton th,6293.3
"Annual, Ending mar Of Each Year", 3-2011,6.17,Maharashtra,Coarse,Ton th,6959.0
"Annual, Ending mar Of Each Year", 3-2012,5.2,Maharashtra,Coarse,Ton th,6120.0
"Annual, Ending mar Of Each Year", 3-2013,4.69,Maharashtra,Coarse,Ton th,4360.0
"Annual, Ending mar Of Each Year", 3-2005,0.18,Orissa,Coarse,Ton th,169.1
"Annual, Ending mar Of Each Year", 3-2006,0.17,Orissa,Coarse,Ton th,159.9
"Annual, Ending mar Of Each Year", 3-2007,0.16,Orissa,Coarse,Ton th,162.4
"Annual, Ending mar Of Each Year", 3-2008,0.17,Orissa,Coarse,Ton th,210.4
"Annual, Ending mar Of Each Year", 3-2009,0.16,Orissa,Coarse,Ton th,191.7
"Annual, Ending mar Of Each Year", 3-2010,0.17,Orissa,Coarse,Ton th,230.4
"Annual, Ending mar Of Each Year", 3-2011,0.21,Orissa,Coarse,Ton th,364.0
"Annual, Ending mar Of Each Year", 3-2012,0.19,Orissa,Coarse,Ton th,260.0
"Annual, Ending mar Of Each Year", 3-2013,0.18,Orissa,Coarse,Ton th,290.0
"Annual, Ending mar Of Each Year", 3-2005,0.19,Punjab,Coarse,Ton th,504.0
"Annual, Ending mar Of Each Year", 3-2006,0.18,Punjab,Coarse,Ton th,472.0
"Annual, Ending mar Of Each Year", 3-2007,0.18,Punjab,Coarse,Ton th,552.0
"Annual, Ending mar Of Each Year", 3-2008,0.18,Punjab,Coarse,Ton th,583.1
"Annual, Ending mar Of Each Year", 3-2009,0.18,Punjab,Coarse,Ton th,575.1
"Annual, Ending mar Of Each Year", 3-2010,0.16,Punjab,Coarse,Ton th,527.1
"Annual, Ending mar Of Each Year", 3-2011,0.15,Punjab,Coarse,Ton th,540.0
"Annual, Ending mar Of Each Year", 3-2012,0.14,Punjab,Coarse,Ton th,550.0
"Annual, Ending mar Of Each Year", 3-2013,0.15,Punjab,Coarse,Ton th,530.0
"Annual, Ending mar Of Each Year", 3-2005,6.37,Rajasthan,Coarse,Ton th,4956.4
"Annual, Ending mar Of Each Year", 3-2006,6.77,Rajasthan,Coarse,Ton th,4528.6
"Annual, Ending mar Of Each Year", 3-2007,6.82,Rajasthan,Coarse,Ton th,5501.9
"Annual, Ending mar Of Each Year", 3-2008,7.02,Rajasthan,Coarse,Ton th,7121.4
"Annual, Ending mar Of Each Year", 3-2009,7.1,Rajasthan,Coarse,Ton th,7325.7
"Annual, Ending mar Of Each Year", 3-2010,7.23,Rajasthan,Coarse,Ton th,3907.2
"Annual, Ending mar Of Each Year", 3-2011,7.7,Rajasthan,Coarse,Ton th,7995.5
"Annual, Ending mar Of Each Year", 3-2012,6.91,Rajasthan,Coarse,Ton th,7460.0
"Annual, Ending mar Of Each Year", 3-2013,5.98,Rajasthan,Coarse,Ton th,6910.0
"Annual, Ending mar Of Each Year", 3-2005,0.82,TamilNadu,Coarse,Ton th,868.0
"Annual, Ending mar Of Each Year", 3-2006,0.74,TamilNadu,Coarse,Ton th,730.2
"Annual, Ending mar Of Each Year", 3-2007,0.7,TamilNadu,Coarse,Ton th,1361.9
"Annual, Ending mar Of Each Year", 3-2008,0.7,TamilNadu,Coarse,Ton th,1357.1
"Annual, Ending mar Of Each Year", 3-2009,0.72,TamilNadu,Coarse,Ton th,1755.1
"Annual, Ending mar Of Each Year", 3-2010,0.65,TamilNadu,Coarse,Ton th,1642.0
"Annual, Ending mar Of Each Year", 3-2011,0.63,TamilNadu,Coarse,Ton th,1878.2
"Annual, Ending mar Of Each Year", 3-2012,0.64,TamilNadu,Coarse,Ton th,2320.0
"Annual, Ending mar Of Each Year", 3-2013,0.7,TamilNadu,Coarse,Ton th,1650.0
"Annual, Ending mar Of Each Year", 3-2005,2.15,UttarPradesh,Coarse,Ton th,3391.8
"Annual, Ending mar Of Each Year", 3-2006,2.15,UttarPradesh,Coarse,Ton th,2971.2
"Annual, Ending mar Of Each Year", 3-2007,2.2,UttarPradesh,Coarse,Ton th,3084.4
"Annual, Ending mar Of Each Year", 3-2008,2.1,UttarPradesh,Coarse,Ton th,3058.9
"Annual, Ending mar Of Each Year", 3-2009,1.99,UttarPradesh,Coarse,Ton th,3080.2
"Annual, Ending mar Of Each Year", 3-2010,1.93,UttarPradesh,Coarse,Ton th,2968.8
"Annual, Ending mar Of Each Year", 3-2011,2.06,UttarPradesh,Coarse,Ton th,3216.6
"Annual, Ending mar Of Each Year", 3-2012,2.03,UttarPradesh,Coarse,Ton th,3570.0
"Annual, Ending mar Of Each Year", 3-2013,2.0,UttarPradesh,Coarse,Ton th,3690.0
"Annual, Ending mar Of Each Year", 3-2005,0.29,Uttaranchal,Coarse,Ton th,358.0
"Annual, Ending mar Of Each Year", 3-2006,0.27,Uttaranchal,Coarse,Ton th,323.0
"Annual, Ending mar Of Each Year", 3-2007,0.26,Uttaranchal,Coarse,Ton th,344.0
"Annual, Ending mar Of Each Year", 3-2008,0.26,Uttaranchal,Coarse,Ton th,339.0
"Annual, Ending mar Of Each Year", 3-2009,0.27,Uttaranchal,Coarse,Ton th,347.0
"Annual, Ending mar Of Each Year", 3-2010,0.26,Uttaranchal,Coarse,Ton th,297.0
"Annual, Ending mar Of Each Year", 3-2011,0.26,Uttaranchal,Coarse,Ton th,334.0
"Annual, Ending mar Of Each Year", 3-2012,0.25,Uttaranchal,Coarse,Ton th,330.0
"Annual, Ending mar Of Each Year", 3-2013,0.25,Uttaranchal,Coarse,Ton th,340.0
"Annual, Ending mar Of Each Year", 3-2005,0.07,WestBengal,Coarse,Ton th,162.0
"Annual, Ending mar Of Each Year", 3-2006,0.07,WestBengal,Coarse,Ton th,150.3
"Annual, Ending mar Of Each Year", 3-2007,0.11,WestBengal,Coarse,Ton th,274.7
"Annual, Ending mar Of Each Year", 3-2008,0.1,WestBengal,Coarse,Ton th,265.8
"Annual, Ending mar Of Each Year", 3-2009,0.11,WestBengal,Coarse,Ton th,365.4
"Annual, Ending mar Of Each Year", 3-2010,0.11,WestBengal,Coarse,Ton th,404.0
"Annual, Ending mar Of Each Year", 3-2011,0.1,WestBengal,Coarse,Ton th,407.9
"Annual, Ending mar Of Each Year", 3-2012,0.11,WestBengal,Coarse,Ton th,380.0
"Annual, Ending mar Of Each Year", 3-2013,0.12,WestBengal,Coarse,Ton th,630.0
